callout_group,hex_code,lineage
BQ.1.1,#00838F,BQ.1.1.25
BQ.1.1,#00838F,BQ.1.1.26
BQ.1.1,#00838F,BQ.1.1.27
BQ.1.1,#00838F,BQ.1.1.28
BQ.1.1,#00838F,BQ.1.1.29
BQ.1.1,#00838F,BQ.1.1.3
BQ.1.1,#00838F,BQ.1.1.30
BQ.1.1,#00838F,BQ.1.1.31
BQ.1.1,#00838F,BQ.1.1.32
BQ.1.1,#00838F,BQ.1.1.34
BQ.1.1,#00838F,BQ.1.1.35
BQ.1.1,#00838F,BQ.1.1.36
BQ.1.1,#00838F,BQ.1.1.37
BQ.1.1,#00838F,BQ.1.1.38
BQ.1.1,#00838F,BQ.1.1.39
BQ.1.1,#00838F,BQ.1.1.4
BQ.1.1,#00838F,BQ.1.1.40
BQ.1.1,#00838F,BQ.1.1.41
BQ.1.1,#00838F,BQ.1.1.42
BQ.1.1,#00838F,BQ.1.1.43
BQ.1.1,#00838F,BQ.1.1.44
BQ.1.1,#00838F,BQ.1.1.45
BQ.1.1,#00838F,BQ.1.1.46
BQ.1.1,#00838F,BQ.1.1.47
BQ.1.1,#00838F,BQ.1.1.48
BQ.1.1,#00838F,BQ.1.1.49
BQ.1.1,#00838F,BQ.1.1.5
BQ.1.1,#00838F,BQ.1.1.50
BQ.1.1,#00838F,BQ.1.1.51
BQ.1.1,#00838F,BQ.1.1.52
BQ.1.1,#00838F,BQ.1.1.53
BQ.1.1,#00838F,BQ.1.1.54
BQ.1.1,#00838F,BQ.1.1.55
BQ.1.1,#00838F,BQ.1.1.56
BQ.1.1,#00838F,BQ.1.1.57
BQ.1.1,#00838F,BQ.1.1.58
BQ.1.1,#00838F,BQ.1.1.59
BQ.1.1,#00838F,BQ.1.1.6
BQ.1.1,#00838F,BQ.1.1.60
BQ.1.1,#00838F,BQ.1.1.61
BQ.1.1,#00838F,BQ.1.1.62
BQ.1.1,#00838F,BQ.1.1.63
BQ.1.1,#00838F,BQ.1.1.64
BQ.1.1,#00838F,BQ.1.1.65
BQ.1.1,#00838F,BQ.1.1.66
BQ.1.1,#00838F,BQ.1.1.67
BQ.1.1,#00838F,BQ.1.1.68
