bam_file	concentration_entry	reason
20230706NY071026522A	20230726NY071026522A	possible typo
20230706NY071026522A	20230406NY071026522A	possible typo
20231003NY087026051A	20231004NY087026051A	close date
20230102NY071026310A	20240102NY071026310A	possible typo
20230102NY071026310A	20230802NY071026310A	possible typo
20230102NY071026310A	20230302NY071026310A	possible typo
20230102NY071026310A	20230502NY071026310A	possible typo
20230102NY071027901A	20230502NY071027901A	possible typo
20230102NY071027901A	20230302NY071027901A	possible typo
20230102NY071027901A	20240102NY071027901A	possible typo
20230516NY071026328A	20230511NY071026328A	possible typo
20230516NY071026328A	20230216NY071026328A	possible typo
20231012NY119108324A	20231018NY119108324A	possible typo
20231012NY119108324A	20231011NY119108324A	close date
20231012NY119108324A	20231022NY119108324A	possible typo
20230101NY119026689A	20240101NY119026689A	possible typo
20230101NY119026689A	20230301NY119026689A	possible typo
20230928NY071027901A	20230921NY071027901A	possible typo
20230907NY071027901A	20230307NY071027901A	possible typo
20230516NY087026051A	20230510NY087026051A	possible typo
20230102NY071026328A	20240102NY071026328A	possible typo
20230102NY071026328A	20230302NY071026328A	possible typo
20230102NY071026328A	20230502NY071026328A	possible typo
20230102NY111029351A	20230502NY111029351A	possible typo
20230102NY111029351A	20240102NY111029351A	possible typo
20230904NY087028533A	20230504NY087028533A	possible typo
20230904NY087028533A	20230906NY087028533A	close date
20231005NY119026701A	20231004NY119026701A	close date
20231005NY119026701A	20231025NY119026701A	possible typo
20231005NY119026719A	20231025NY119026719A	possible typo
20231005NY119026719A	20231004NY119026719A	close date
20230928NY071026328A	20230921NY071026328A	possible typo
20230927NY071026310A	20230920NY071026310A	possible typo
20230921NY119100803A	20230924NY119100803A	close date
20230921NY119100803A	20230920NY119100803A	close date
20230921NY119100803A	20230918NY119100803A	close date
20231012NY119026701A	20231018NY119026701A	possible typo
20231012NY119026701A	20231011NY119026701A	close date
20231002NY079022721A	20231003NY079022721A	close date
20230927NY079031356A	20230920NY079031356A	possible typo
20230927NY079031356A	20230926NY079031356A	close date
20230926NY119100803A	20230426NY119100803A	possible typo
20230926NY119100803A	20230326NY119100803A	possible typo
20230926NY119100803A	20230924NY119100803A	close date
20230926NY119100803A	20230920NY119100803A	possible typo
20230926NY119100803A	20230726NY119100803A	possible typo
20231018NY079022721A	20231017NY079022721A	close date
20231012NY119026786A	20231011NY119026786A	close date
20231012NY119026786A	20231018NY119026786A	possible typo
20231012NY119026786A	20231022NY119026786A	possible typo
20230830NY071027901A	20230330NY071027901A	possible typo
20230830NY071027901A	20230810NY071027901A	possible typo
20230830NY071027901A	20230829NY071027901A	close date
20230102NY087022748A	20230502NY087022748A	possible typo
